2025-06-06 15:07:55 | 12345678 | Inicio de sesión exitoso
2025-06-06 15:12:42 | 12345678 | Cierre de sesión
2025-06-06 15:16:58 | Sistema | Nuevo usuario registrado: 11112222
2025-06-06 15:17:13 | 11112222 | Inicio de sesión exitoso
2025-06-06 15:38:01 | 11112222 | Cierre de sesión
2025-06-06 15:39:10 | 12345678 | Inicio de sesión exitoso
2025-06-06 15:40:39 | 12345678 | Nuevo producto creado: TEX
2025-06-06 15:42:01 | 12345678 | Nuevo destino creado: EE.UU
2025-06-06 15:42:21 | 12345678 | Nuevo destino creado: ESPAÑA
2025-06-06 15:42:41 | 12345678 | Destino eliminado: ESPAÑA
2025-06-06 15:42:57 | 12345678 | Nuevo destino creado: España
2025-06-06 15:50:13 | 12345678 | Usuario editado: 11112222
2025-06-06 15:50:22 | 12345678 | Cierre de sesión
2025-06-06 15:50:42 | Sistema | Intento de inicio de sesión fallido con DNI: 87654321
2025-06-06 15:50:56 | Sistema | Intento de inicio de sesión fallido con DNI: 87654321
2025-06-06 15:52:11 | Sistema | Intento de inicio de sesión fallido con DNI: 11112222
2025-06-06 15:52:22 | 11112222 | Inicio de sesión exitoso
2025-06-06 15:54:02 | 11112222 | Usuario editado: 11112222
2025-06-06 16:04:44 | 11112222 | Nueva exportación registrada: TEX a EE.UU
2025-06-06 16:12:01 | 11112222 | Nuevo producto creado: Cañihua (Chenopodium pallidicaule)
2025-06-06 16:17:05 | 11112222 | Nuevo producto creado: Quinua
2025-06-06 16:17:21 | 11112222 | Nuevo producto creado: Maíz Morado
2025-06-06 16:17:38 | 11112222 | Nuevo producto creado: Papa Nativa
2025-06-06 16:17:55 | 11112222 | Nuevo producto creado: Tarwi
2025-06-06 16:18:11 | 11112222 | Nuevo producto creado: Kiwicha
2025-06-06 16:18:49 | 11112222 | Nuevo producto creado: Cañihua
2025-06-06 16:20:22 | 11112222 | Nuevo destino creado: Argentina
2025-06-06 16:20:30 | 11112222 | Nuevo destino creado: Bolivia
2025-06-06 16:20:47 | 11112222 | Nuevo destino creado: Brasil
2025-06-06 16:21:00 | 11112222 | Nuevo destino creado: Chile
2025-06-06 16:21:12 | 11112222 | Nuevo destino creado: Colombia
2025-06-06 16:21:25 | 11112222 | Nuevo destino creado: Ecuador
2025-06-06 16:21:38 | 11112222 | Nuevo destino creado: Guyana
2025-06-06 16:21:52 | 11112222 | Nuevo destino creado: Paraguay
2025-06-06 16:22:07 | 11112222 | Nuevo destino creado: Perú
2025-06-06 16:22:27 | 11112222 | Nuevo destino creado: Surinam
2025-06-06 16:22:40 | 11112222 | Nuevo destino creado: Uruguay
2025-06-06 16:22:52 | 11112222 | Nuevo destino creado: Venezuela
2025-06-06 16:23:22 | 11112222 | Destino editado: Estados Unidos (EE.UU.)
2025-06-06 16:25:13 | 11112222 | Nuevo destino creado: China
2025-06-06 16:25:56 | 11112222 | Nuevo destino creado: China
2025-06-06 16:26:20 | 11112222 | Destino eliminado: China
2025-06-06 16:26:57 | 11112222 | Nuevo destino creado: Alemania
2025-06-06 16:27:49 | 11112222 | Nuevo destino creado: Japón
2025-06-06 16:35:31 | 11112222 | Cierre de sesión
2025-06-06 16:36:13 | Sistema | Intento de inicio de sesión fallido con DNI: 11112222
2025-06-06 16:36:23 | 11112222 | Inicio de sesión exitoso
